Date,Price,Open,High,Low,Vol.,Change %
7/12/2023,0.1554,0.1545,0.159,0.1519,47.52M,0.78%
7/11/2023,0.1542,0.155,0.155,0.1505,21.33M,1.31%
7/10/2023,0.1522,0.1503,0.1549,0.1503,27.26M,1.33%
7/7/2023,0.1502,0.1519,0.1522,0.1481,16.08M,-0.92%
7/6/2023,0.1516,0.1501,0.152,0.1493,12.22M,0.86%
7/5/2023,0.1503,0.1509,0.1533,0.1491,15.40M,-0.40%
7/4/2023,0.1509,0.151,0.1525,0.15,8.35M,-0.59%
7/3/2023,0.1518,0.1522,0.1527,0.1503,9.92M,-0.46%
6/30/2023,0.1525,0.1521,0.1527,0.1502,6.77M,-0.13%
6/29/2023,0.1527,0.1526,0.1537,0.1501,14.21M,0.53%
6/28/2023,0.1519,0.1529,0.1529,0.1491,15.04M,-0.52%
6/27/2023,0.1527,0.149,0.1537,0.148,20.66M,2.48%
6/26/2023,0.149,0.1541,0.1541,0.1473,40.31M,-3.37%
6/23/2023,0.1542,0.1574,0.1585,0.148,50.95M,-2.47%
6/22/2023,0.1581,0.157,0.175,0.154,204.79M,1.61%
6/21/2023,0.1556,0.1541,0.1556,0.1515,49.60M,0.97%
6/20/2023,0.1541,0.153,0.1542,0.1503,36.15M,0.46%
6/19/2023,0.1534,0.1599,0.16,0.1518,57.87M,-2.54%
6/16/2023,0.1574,0.1578,0.1612,0.154,43.30M,0.25%
6/15/2023,0.157,0.1569,0.1577,0.1539,34.93M,0.06%
6/14/2023,0.1569,0.1643,0.1643,0.1549,70.35M,-3.21%
6/13/2023,0.1621,0.166,0.1745,0.1599,116.75M,-1.52%
6/9/2023,0.1646,0.18,0.18,0.1593,407.64M,-7.53%
6/8/2023,0.178,0.146,0.1939,0.1459,920.63M,22.51%
6/7/2023,0.1453,0.1384,0.1458,0.1384,19.54M,4.38%
6/6/2023,0.1392,0.141,0.1439,0.1359,16.96M,-1.28%
6/5/2023,0.141,0.145,0.1459,0.141,29.98M,0.07%
6/2/2023,0.1409,0.1395,0.1412,0.1284,62.39M,1.00%
6/1/2023,0.1395,0.1478,0.148,0.1352,41.60M,-5.04%
5/31/2023,0.1469,0.1501,0.1501,0.138,41.24M,-2.46%
5/30/2023,0.1506,0.1555,0.1555,0.1499,25.75M,-2.08%
5/29/2023,0.1538,0.1656,0.1656,0.1512,37.60M,-4.47%
5/26/2023,0.161,0.1613,0.171,0.1545,61.49M,-0.19%
5/25/2023,0.1613,0.17,0.1725,0.157,31.30M,-2.24%
5/24/2023,0.165,0.177,0.1895,0.1575,409.20M,-4.95%
5/23/2023,0.1736,0.1443,0.1763,0.1443,311.80M,20.30%
5/22/2023,0.1443,0.1255,0.15,0.1223,190.40M,16.75%
5/19/2023,0.1236,0.1267,0.1314,0.1236,13.25M,-2.98%
5/18/2023,0.1274,0.1209,0.1389,0.1209,84.71M,3.66%
5/17/2023,0.1229,0.1158,0.1264,0.1158,78.30M,6.04%
5/16/2023,0.1159,0.1163,0.12,0.1152,10.52M,-0.26%
5/15/2023,0.1162,0.1166,0.1204,0.1143,16.25M,0.69%
5/12/2023,0.1154,0.1166,0.1166,0.1127,8.13M,0.35%
5/11/2023,0.115,0.1112,0.1223,0.108,46.05M,5.02%
5/10/2023,0.1095,0.1089,0.1114,0.1052,16.01M,1.77%
5/8/2023,0.1076,0.113,0.113,0.1055,28.28M,-3.32%
5/5/2023,0.1113,0.106,0.1264,0.1059,180.29M,5.40%
5/4/2023,0.1056,0.1065,0.1081,0.1048,7.48M,-0.94%
5/3/2023,0.1066,0.1033,0.1139,0.1033,29.64M,1.81%
5/2/2023,0.1047,0.1084,0.1115,0.1029,40.48M,-4.38%
4/28/2023,0.1095,0.1135,0.114,0.1075,43.15M,-3.95%
4/27/2023,0.114,0.1128,0.1194,0.11,106.56M,3.64%
4/26/2023,0.11,0.1034,0.1188,0.1021,241.75M,7.74%
4/25/2023,0.1021,0.102,0.1043,0.1006,15.31M,1.09%
4/24/2023,0.101,0.1038,0.1038,0.1005,7.52M,0.00%
4/21/2023,0.101,0.1002,0.1023,0.1002,4.50M,-0.49%
4/20/2023,0.1015,0.1026,0.1029,0.1,16.84M,-1.07%
4/19/2023,0.1026,0.1035,0.1038,0.0986,18.10M,-1.63%
4/18/2023,0.1043,0.1049,0.105,0.1015,15.47M,-0.67%
4/17/2023,0.105,0.1042,0.105,0.1016,18.51M,1.65%
4/14/2023,0.1033,0.1025,0.1042,0.0931,23.19M,0.68%
4/13/2023,0.1026,0.1004,0.1027,0.1,10.34M,1.99%
4/12/2023,0.1006,0.1004,0.101,0.0997,6.77M,0.80%
4/11/2023,0.0998,0.101,0.1015,0.0998,16.79M,-1.19%
4/10/2023,0.101,0.0999,0.1023,0.0999,5.06M,1.00%
4/7/2023,0.1,0.0996,0.1013,0.098,59.98M,0.40%
